neutral	"@JetBlue.  Punta Cana
neutral	@USAirways in a few weeks
negative	@SouthwestAir my flight was delayed 4 hrs. I'm 5 months pregnant &amp; supposed to be caring for my mom whose in surgery now. Very upset.
negative	@united how can you not put my bag on plane to Seattle. Flight 1212. Waiting  in line to talk to someone about my bag. Status should matter.
negative	@AmericanAir we had to sit in the airport a long periolodicly time. the planes were nasty
neutral	@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
negative	"@JetBlue Sent an email more than 24 hours ago asking a few questions
neutral	@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - SYS-CON Media (PR) http://t.co/ZoFWLdQXbe
negative	@united thanks for reminding me how much easier it is to fly Southwest!  Get more agents at sfo 25!
neutral	"@united yes. Houston Int'l
negative	@SouthwestAir I will.make sure to tell everyone I know about this all around horrible experience. I will also post it on my business page.
negative	@AmericanAir I DMed you my AA &amp; phone #s &amp; you can't have someone call me? What was the point of your response? You didn't resolve anything!
negative	"@USAirways this is ridiculous.  I have a 6:00 AM flight and two hours of rest
negative	@AmericanAir of delays and trapped on planes with no water or air. Never ever ever again. #neveragain #aafail
negative	@USAirways quit being cheap and hire some call center employees. It shouldn't take half a day to call you
neutral	@united @iamtedking http://t.co/UCZzP9YpHk click lounges tab. Need to be flying on supported S/A airline
negative	@AmericanAir stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline
negative	@SouthwestAir I'm just calling to Cancelled Flight a flight. I already rebooked it on another card. Just need to Cancelled Flight the previous reservation.
positive	@SouthwestAir is the best airline out there no one is better than them #OneLove #Southwest #bestairline
negative	@JetBlue why 730 and not 645 as scheduled?
negative	"@AmericanAir the communications seems to be an issue too
negative	@USAirways @AmericanAir - Can flight #415 get the paperwork inputted?? We should have taken off an hour .. #sittingontheplane #hungry
neutral	"@VirginAmerica @ladygaga @carrieunderwood all are great 
neutral	"@united can someone at the airport in Portland
negative	"@AmericanAir yes
positive	@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0
neutral	@AmericanAir a guy try right...
neutral	@JetBlue Flight 136 departed Phoenix at 1:30 am
negative	@SouthwestAir weather where? And at what time Cancelled Flighted? No I can't because meeting was today.
negative	@USAirways @united each says the other has my luggage. On hold almost 3.5 hrs with @USAirways. @united hung up 3x. http://t.co/dr5oCtp1DY
positive	@USAirways Kudos to Robin at @PHXSkyHarbor Lost/Found for reuniting me w/ my iPad. She was delightful to work with!
negative	@AmericanAir hey! Tried calling customer service and was told there's a 2 hour wait. This has been for the past 4 hours. Thanks! You suck!
neutral	@JetBlue what's a good address to send feedback over email?
positive	@SouthwestAir thanks for getting me back to Nashville. Big thanks to the pilots on the 6:15 out of Baltimore. Flying in snow landing on ice.
negative	@AmericanAir Or u cud answer my ? here! 140 is plenty. Inflight stealing going on right now &amp; FA won't have the uncomfortable convo w pass.
negative	"@united
negative	"@AmericanAir My reservation is on hold
neutral	"@SouthwestAir 
neutral	@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund
negative	"@AmericanAir leave us stranded
positive	@united you too!
negative	@JetBlue we've been on the runway for over an hour. Now the water pressure is low and taxiing back for maintenance. #1572
neutral	@USAirways  2 calls &amp; wasted 3 hrs on hold to change my coming divided awards weather reLate Flightd flight. Y'all disconnected me 2x. Please help.

neutral	"@AmericanAir its only 1500 characters
negative	@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.
positive	@JetBlue TA off site at #thelodge. Should be a fun day. @YeniettElswood @AndrewBiga @CodyCleverly @HeidiMacey @motherpollock
positive	"@SouthwestAir aww thanks!! Other than that
neutral	"As soon as I can
neutral	@united Home is Calgary can you get us there without the added expense of accommodations and meals.
positive	@USAirways THANK YOU for resolving the issue. On direct flight to sfo from @united
positive	@SouthwestAir y'all are fast we already have our 5 winners! Congrats!!
negative	"@SouthwestAir very confusing to receive ""your trip is around the corner!"" email when I already Cancelled Flightled the flight"
negative	"@USAirways first flight Cancelled Flightled
negative	@USAirways 5 hours on the phone waiting for a call back to find my luggage #shameonyou
positive	@USAirways thanks to Betty working gate at ILM and lovely gate agents here in CLT helping me get home 2 Phx tonight instead of tomorrow
neutral	@JetBlue Think about it...boarding to a chill untz untz untz....like this http://t.co/lj2lARivE0...
positive	@united They held the plane! Made it!!
negative	"@vanessaannz seriously
neutral	@united dm these nuts
positive	@united thanks for all the help! Totally appreciate it and you made it super easy too
positive	@SouthwestAir would be cool if the best airlines company hooked me up with @Imaginedragons tickets for Vegas ;)
negative	@USAirways @AmericanAir won't even refund for a flight they Cancelled Flightled #horriblecustomerservice
neutral	"@AmericanAir guarantee no retribution? If so
positive	"@united just touched down in Miami - not too far off 
negative	@AmericanAir 1 ticket agent servicing at least 60 people on line. Waiting for an hour and a half and your phones hang up on people.
negative	"@USAirways yes
negative	"@United: I feel very well informed. yes
negative	@SouthwestAir I don't want to be too whiny. We accommodated several passengers whose earlier flight was Cancelled Flightled. Our flight was very long.
negative	@AmericanAir that doesn't really answer my question. Maybe if I provide more details you can give me clarification...
negative	@JetBlue 👍. I think I'll come take a nap at the terminal.  ;)
positive	"@JetBlue awesome
negative	"@AmericanAir not sure what this means but son and I will certainly have operational needs for seats during Flt. 1679 next Friday
negative	"@AmericanAir I used the ""call back"" feature with an operator regarding my flight
neutral	"@JetBlue Or...
positive	@USAirways looks like our bag has been rescued. Thanks!
neutral	"@united It was 3387. But we helped you with the weight issue
negative	@USAirways yes .not sure how you guys don't know gate is occupied and keep us waiting
negative	"@AmericanAir I'd just like to know where my bag is
positive	@USAirways Thank You for your empathy there is more to this story than just the luggage but thank you for reaching out
positive	@JetBlue today my family gets to experience #mosaic status w/ me! #LifeIsGood
neutral	"@JetBlue as requested
negative	@USAirways  ! THE WORST in customer service. @USAirways ! Calling for over a month to book a flight! #poorcustomerservice #usairwaysfflyer
neutral	@AmericanAir We've sent you more info via DM.  I truly hope you resolve this very quickly. #media #filmcrew #cnn #nbc
negative	"@united
neutral	@JetBlue everyone is overreacting. Keep up your swag!
positive	@USAirways 603 &amp; 2705 DFW to PSP thank you!
negative	@AmericanAir I wasn't important this morning when you would not seat my wife and I together or allow me to choose seats at Flight Booking Problems!!
positive	"Thank you. “@AmericanAir: @jlhalldc Customer Relations will review your concerns and contact you back directly
positive	@JetBlue just mine sadly.. But yea the fly fi is awesome
negative	"@JetBlue I'm disappointed my flight was Cancelled Flighted
negative	"@united 1hr delay at the start
negative	@AmericanAir there is two hour wait
neutral	@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao
neutral	@AmericanAir yes. No one is answering and I'm on a train
neutral	@united Just submitted my response on the link you sent.
negative	@USAirways I just want to be heard and to discuss the many issues on my trip
negative	@united my friend lost luggage on flight 1547. What to do?
neutral	@usairways Trying to go Nashville to London and just have no idea when would be a good time to fly out of Nashville right now. @AmericanAir
negative	@JetBlue it is absurd that I have waited more than 45mins because the flight attendant assigned for my flight is Late Flight. You dont have others?
negative	@USAirways even when I do simple google search by flight number it tells me which gate so won't be that difficult am sure #disappointed
negative	@AmericanAir why is does it seem to be impossible to contact anyone at your airline to get an item left on board a plane 5 min after deplane
positive	@united good fly!! #United #businessFirst
negative	@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir
negative	@AmericanAir has no idea what they're doing. Delay 1 flight from 5pm to 7:40pm then delay another TO THE SAME DESTINATION  @ THE SAME TIME.
negative	@united UA1565 IAH -&gt; SJO is delayed by like 1.5 hours. Crazy!
negative	@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes
negative	"@united ok
neutral	@JetBlue Anywhere warm cause its freezing in NYC
positive	@USAirways surprisingly quick response time by you and them. Thanks!
positive	@JetBlue Thank you for the quick response! I am trying to request abassinet for my son. it would be great if you can help me with my request
neutral	"@united i understand
neutral	@USAirways am 2. 1/2 hours from airport sure would like to talk to someone
neutral	@JetBlue it's time for our #brandmance 2 go #UpWhereWeBelong https://t.co/KtAWbiUUro
negative	"@AmericanAir You've misunderstood. @USAirways WOULD NOT do a same day flight change for me. The gate agent said
negative	"@united since bulkhead seats cannot have bags on floor
negative	@SouthwestAir we are 2 mins from departure of 4125 and no announced update nor an update to on time status. Everyone just standing. #comeon
negative	"@USAirways after being assured by the pleasant woman at gate B11 in Albany
positive	"@SouthwestAir Thanks for two smooth
negative	@SouthwestAir Stuck on 4251 with the heat blasting to try and thaw the water lines.... Kinda disappointed for my first flight as a RR member
negative	"@USAirways see? No response? Obviously you think this ""service"" is acceptable. #customerservicefail"
neutral	@SouthwestAir DAL is due for sleet Sun. eve-didn't see it listed for cities that can re-book?  Fly to DCA at 8:10
negative	@united I'm on UA1118 and my direct tv isn't working.  How do I avoid this in future?
neutral	@USAirways will you be issuing a travel advisory for CLT for Thursday?  A significant snow storm is in the way Wednesday night.
neutral	@SouthwestAir @MegElizabeth631 how you like the #redcarpet treatment
positive	@VirginAmerica I'm #elevategold for a good reason: you rock!!
negative	@AmericanAir @EdPlotts don't bother trying to get anywhere with their customer service team either as take 2+ months and counting to reply
neutral	@JetBlue you just tight that you're #59 on the world's best airlines list &amp; @VirginAtlantic is ranked higher! @VirginAtlantic here I come!
positive	"@AmericanAir Thank you
negative	@AmericanAir How clueless is AA. Been waiting to hear for 2.5 weeks about a refund from a Cancelled Flightled flight &amp; been on hold now for 1hr 49min
neutral	@united in Bogota with no wallet is no fun. :-(
negative	"@united 3586 from IAD to BUF.  Incredibly loud
negative	@AmericanAir I'm not sure what happened to my USAirways status when the merger took place.
neutral	@AmericanAir um no just hanging out what’s new w you?
neutral	Welllllll.... RT @JetBlue: Our fleet's on fleek. http://t.co/dHHomG2kiX
positive	@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys
negative	@united are the ones who make it difficult for me.
negative	@SouthwestAir its flight #218 of that matters to you all. Hell next we all won't get our luggage properly transferred #facepalm #smh
positive	@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :)
neutral	@SouthwestAir done
negative	@AmericanAir 6 hours to get backs back after being sat on a plane for 4 hours to have flight Cancelled Flightled with only one small drink
positive	"@SouthwestAir strives to be 'Customer Centric' in everything they do - communications
negative	@USAirways over 4 weeks since you took our money and left us stranded 9 hours from home. Had to rent a car and you still have not helped us
negative	@SouthwestAir how you gonna Cancelled Flight my flight but run flights at the exact same time? Cmon fam
negative	"@SouthwestAir missing out on over 6
negative	@USAirways your customer service is horrendous. Between the way employees speak customers and their lack of care for problems with flights.
positive	@united I just received notification of in-flight Wi-Fi for UA863 from @flySFO to @SydneyAirport. Amazing!
negative	"@AmericanAir waited in the airport for two days to get home
positive	"@AmericanAir ""Airport snow removal method #22...""
negative	@SouthwestAir lets chat about flights to and from BWI and the Carolina area... Can a girl get break? I've had to resort to USAir 😖 2 a day?!
positive	@united ooh thanks!
negative	@AmericanAir wish you had a better mobile app.  You should look at the app from @united as it is much more seemless to check in
negative	"@AmericanAir AA1675 now that the airplane has been sitting here for over 24 hrs
neutral	@USAirways it's vegas baby who doesn't have a good time in vegas lol
negative	"@united booked a flight yesterday
neutral	@JetBlue's new CEO Robin Hayes battles to appease passengers and Wall Street - Business In Savannah http://t.co/KKAY8XaPs1
negative	@USAirways now you don't know where my luggage is?  Seriously?
negative	@SouthwestAir Yes. I figured an hour was a long enough time to hold before giving up. Can somebody call me?
neutral	@SouthwestAir 20 passengers on this plane. I should've just grabbed my baggage and gave it its own seat.
neutral	@SouthwestAir I'm ready for #MayweatherPacquiao in Vegas May 2nd! http://t.co/8dQZlrJo9p
negative	@JetBlue flying to Denver March 1st and my flight itenary keeps getting changed what the heck...booked the trip 3 months ago
negative	"@USAirways sitting for 30 minutes on the runway at dca
neutral	"@united Alright
positive	@AmericanAir I love your company and your staff is amazing. They just made an uncomfortable situation comfortable
negative	@USAirways already spent 60 mins today handling this for my minor child. Shame on you for treating a 15 year old girl like this.
negative	"@united Yeah
negative	"@USAirways yeah
negative	"@USAirways that's ok
neutral	"@AmericanAir Hi guys
neutral	@AmericanAir 767 seconds from touchdown at Madrid airport in April 2013 #AvGeek http://t.co/1yWXRfn0Gr
negative	"@united I requested an online refund option they denied saying the ticket was used
negative	"@united Thanks for nothing. Next time I'll bring a whole extra suitcase for my 1 extra pound. That makes sense
negative	@united you would think you would clean your ramps. Our jet is stuck in the snow in Newark. This would never happen with @Delta
negative	@SouthwestAir flight just Cancelled Flighted. Can you help me rebook?
neutral	@USAirways how do you have only 1 flight into lexington this afternoon with the #1 @KentuckyMBB playing a big game tonight?  #DoBetter
positive	@USAirways Another great flight #FunFlightAttendants. Thanks for showing my dad wonderful customer service. #flt635 #LAX #PHX #SundayFunday
negative	@united don't know if you are aware that ALL of your premier access lines are closed in your terminal. I feel the love.
negative	@USAirways - just passed the 3 hour mark #onholdwith you for THIS call.  Gave up after 2.5 this morning.
negative	"@USAirways Why were we loaded onto the plane (4 hours Late Flight
negative	"@AmericanAir i hope it takes you 6 hours to get home when it should take 20. my flight was Cancelled Flightled because they ""couldn't staff the plane"""
neutral	@united Done and done
negative	@AmericanAir yeah that's not helping. Having my bag shipped to the correct city the first time probably would have helped.
negative	@united I had to change airports to actually get a flight out when my flight from FAY was Cancelled Flightled twice. $180 taxi ride to RDU--reimburse?
negative	"@USAirways Congrats
neutral	"@united how come it's cheaper to fly to BKK than NRT even though to get to BKK you take an extra flight
negative	@usairways 3rd time cut off after 10+ minutes on hold with Chairmans desk?!??? Wth how are we supposed to rebook Cancelled Flightled flights?!?!?
positive	"@AmericanAir thanks
negative	".@united all other ANA ticket holders get to use the lounge
negative	"I was a bit steamed in conjunction w/my new 7-hour wait at first
negative	@united direct messages not going through please help
neutral	@USAirways my wife left her phone on flight AWE474 on Friday February 20th upon landing in Minneapolis. How can we get it back? Thanks!
negative	@united over an hour stuck and still not off the plane. Total failure by you and your partners in ensuring the best customer experience.
negative	"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!"
positive	"@SouthwestAir Although the wait was long due to weather r/scheduling
negative	@united this is the second time my flights been Cancelled Flightled... Like really?
negative	@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united
negative	"@united I would understand if weather was the issue
negative	"Brands: Stop this shit. No
negative	@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund
negative	@SouthwestAir Conf #8Q6MFD Finally got through &amp; told the flight was completely booked.  That would have been better info than advise 2 call
negative	"@SouthwestAir - wow! 100 minutes on hold
negative	"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent
negative	@AmericanAir so the one time we upgrade to first class our luggage was open and now missing valuable items that can't be replaced. #upset
negative	@jetblue any idea where the plane for flight 672 is coming from? I thought flight 305 from JFK but that wouldn't explain delay.
neutral	@united also checked email you have on file for me and it is correct
negative	@united unavailable leg that registered hours after being sold out. Only option to offer after 45min was +$400/ticket or Travelocity (2of2)
negative	@AmericanAir no response to DM or email yet.  customer service?
negative	.@USAirways You'll be receiving a long &amp; detailed complaint letter soon. Long story short: never flying USAir again.
negative	@united can you not get the first flight of the day off the ground on time?   #1531.  Let's go.......
neutral	@united what do you have in mind?
positive	"“@AmericanAir: @Dawn_Davis You're very welcome
positive	@AmericanAir thanks!!
negative	@united apparently sleeping in B terminal wasn't the worst situation. Someone told other UA passengers they had to sleep at baggage claim.
positive	@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
negative	@USAirways Some of my 4 kids are anxious. Husband and I can't sit with all 4 with current setup. No warning that our 6 seats changed.
neutral	@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg
positive	@SouthwestAir makes flying for @UNO_Baseball fun! Flight crew just led the plane in singing happy birthday to one of our guys! #LuvInTheAir
negative	@JetBlue Cancelled Flighted my flight. Went with another airline 2 leave 2day. They Cancelled Flighted also. Called JetBlue &amp; got same flight but now $250 more👺
positive	@JetBlue had a great flight to Orlando from Hartford a few weeks ago! Was great to get out on time and arrive early!
neutral	@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏
negative	@usairways the. Worst. Ever. #dca #customerservice
negative	"@AmericanAir is the new @SpiritAirlines
negative	@USAirways been on hold for 39 minutes and counting for a month old change fee refund request for a funeral.  This is pathetic.
negative	@JetBlue maybe announce the delay so we don't sit on the plane on the runway for an hour+ before taking off
neutral	@SouthwestAir we are trying to go as far away from King'sCollegeLondon as possible for charity today. Would you help us ? #jailbreak #RAG
negative	"@united Oh
negative	@SouthwestAir my friends from Boston stuck in Denver. Her name Jane. @RnCahill  Please contact her.
neutral	NO“@JetBlue: Our fleet's on fleek. http://t.co/UgFCKErmrW”
negative	@SouthwestAir nothing express about your express bag drop at Phoenix Sky Harbor
negative	@SouthwestAir How to I rebook on-line when it keeps telling me that it's a reserv number for a past date (this morning)? Holding for 2hrs.
positive	@JetBlue with the free wifi #impressive #FlyFi http://t.co/T1RYpzEBc8
neutral	@USAirways just noticed that I don't believe I saw a confirmation for a flight I bought a few weeks ago. Def paid though. #help #resend?
neutral	@AmericanAir Will 2396 be Cancelled Flightled tonight?
neutral	@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?
positive	@united I left my comment with customer care. Thanks for contacting me.
negative	@USAirways your mobile app is horrible!  Needs a major overhaul
negative	@JetBlue flight from DCA to BOS has no heat #OhNo #BundleUp #Leastthebeverageswillbecold
negative	@USAirways @PhilaCarService looks like a long trip from cancun to philly? 9 hours Late Flight? Seriously?
negative	"@united Now submitted for the third time
negative	"@united funny
neutral	@AmericanAir can we get a status update on flight 1457? Are we going to make it home tonight...?
negative	@SouthwestAir when you're on hold with southwest for over 2 hours and it automatically hangs up on you. #iusedtoloveu http://t.co/tEFHpuWMdJ
neutral	@AmericanAir at LAX &amp; just got off the phone w/reservations. Every flight that'd get me to BOS before 11 am tmrw is apparently unavailable 😐
negative	@AmericanAir You lost a customer today. Flight today was Cancelled Flightled and I had to find out by calling customer service yesterday.
negative	@AmericanAir that's unacceptable
negative	@JetBlue is flight 51 on 4/24/15 moved back? When I booked it said we arrive 11:31 but now it says 12:08 😢
negative	@AmericanAir I'm still on hold if you're wondering...  4 hours 37 minutes and counting.  #ServiceFail #OnHoldForever #Suboptimal
negative	"@AmericanAir I sure hope you all can fix @USAirways. Good luck
positive	@united one lady helping the 12 of us with luggage
negative	@united 777 from SFO to HNL with ZERO entertainment systems???!!!#youareonyourown
positive	@AmericanAir thank you!
negative	@united each flight is worse than last! flight attendants don't even know whether the plane is equipped with power outlets at the seats!
negative	@SouthwestAir need to learn how to treat people with respect and just a little dignity. #FAIL
negative	"@AmericanAir flight 65 delayed over 4 hours on 2/22
negative	@AmericanAir sure is. What's more frustrating is being stranded at the airport with our fate in your hands.
negative	@united 3875 to Denver which we are supposed to be boarding right now but has yet to land
neutral	"@SouthwestAir snapchat
positive	@JetBlue Awesome thanks! Thanks for the quick response. You guys ROCK! :)
neutral	@AmericanAir so whats the hold up on flight 4302?
positive	"@VirginAmerica Thanks so much for the awesome support
negative	@SouthwestAir thanks for taking such good care of my luggage... http://t.co/PIvxean3jY
positive	@united @parryaftab done thnx
negative	@USAirways being told 'tough break and this is how it is' is unacceptable. You can't even tell me when my bags will be here
positive	@JetBlue will call. Thank you!
positive	@SouthwestAir Great job!! Looking forward to my next trip being able to use this new feature!
negative	@united you phone customer service team is bad. Think it is time for me to consider switching airlines.
negative	@AmericanAir I am going to keep these tweets coming till AA does something...which I know is nothing..hoping I go way...not likely.
negative	"@USAirways Also
negative	"@united booked flight in sept to get best price for April to usa
negative	@united yes I filed a claim &amp; hope to receive by luggage by 2am. Ridiculous as I had to purchase items to go to sleep &amp; no reimbursement.
negative	@AmericanAir I need to rebook and I cannot get an agent. Can you help?
negative	@USAirways it takes a month?
negative	@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
neutral	@united I need a customer service manager to contact me please
negative	@AmericanAir been on the phone for 47 minutes...said it would be 10...  Any advice?
positive	@JetBlue haha thanks Jetblue👌☺️
negative	@SouthwestAir Should be a way to give voice to customers who pay for services that are not satisfactorily delivered. #justsayin
negative	@united now finally in memphis. Landed 30 minutes ago. Still no bags. Paying for a service that just gets worse...
neutral	@united following
negative	@AmericanAir @emeyerson @ggreenwald Don't wait on a bag. Go to Walmart and get what you need for tomorrow morning.
negative	@USAirways that's it?!?!?
negative	@USAirways why have me board a plane knowing there is a maint issue?  US5235.
neutral	@united yes! I'll be sending an email to customer service today.
negative	@AmericanAir attached original ticket. flight number was 1672. isn't the experience I thought I would have. Terrible! http://t.co/5SdlyN9MSS
negative	"@JetBlue I put it my ""to"" and ""from"" airports
negative	@SouthwestAir it's not letting me DM you !!
negative	@USAirways only sympathy she offered was holding a reservation until Monday night. That's pretty awesome if you ask me...
positive	@USAirways thanks.
negative	@AmericanAir I've tried ten times now last night and this morning...how many times should I try? Have meetings to make tonight in ATX.
negative	@united now I'll probably miss my next connection!
negative	@USAirways according to @wtop DCA seems to be recovering nicely from yesterday's snow so why are you Cancelled Flightling flights out there?
negative	@united I think DM would be better
negative	@SouthwestAir grouchy about this flight 636 #complimentarybeveragesneeded
negative	@USAirways @AmericanAir Will you be destroying lives in Eastern @GastonCounty during this lively little event? For profits you will.
negative	@jetblue any idea what caused the delay on flight 1316 FLL &gt; Jax ?
negative	@AmericanAir come on I just want to go home I can't miss another day of work #stuckinmemphis #texasisclosed
negative	"@USAirways this has been my WORST flying experience with you guys
negative	@usairways is your clt departures delayed? Hoping I can make my connection after a lengthy take off delay and endless taxi-ing here at clt
negative	@united is ridiculous! UA6 delayed for 3.5 hours and counting. Should have booked with a diff airline that takes it seriously #unitedsucks
positive	@SouthwestAir the crew of 4649 has been great to us today. Traveling from Ft. Lauderdale to Louisville with 2 kids 7 and under. Thanks!✈️✈️
negative	.@united Will breaking them in somehow make them longer so that they don't cut off the circulation in my legs? #unfriendlyskies
negative	"@AmericanAir I slept in the miami airport due to mechanical issues and was given 10
negative	@united you changed my entire flight plan for vacation and now I will be there alone a day and night early with nowhere to stay. Help!
negative	@united thanks for your attention. I would actually like to make a specific complaint about customer service at DCA. What is my best option?
negative	@USAirways so upset with customer service. I have a simple question and the phone system has disconnected me all day today and yesterday.
negative	@united how about after 2.5 hrs at ORD another .5 on the tarmac + refuse to move me to an earlier flight you make it up to me? #iflyalot #bs
negative	@AmericanAir I got rebooked on on us airways by you guys but the flight I got won't work. Any help would be appreciated.
neutral	"@JetBlue It's absolute madness in the west
negative	@united--excited to barrel through the sky at 600mph on a 75 ton piece of metal operated by a company that can't get their tiny TVs to work!
negative	@USAirways how about now getting us the rest of our bags please? We only received 2 of 5. Can you help with that?
positive	"@JetBlue btw
negative	@united involuntarily bumped your passenger and can't guarantee them another flight for three days!
positive	@USAirways thanks !!!
negative	@united Ugh.  My bags were sent to Palm Springs and not to LAX as promised.  They better be at the hotel when I get there.
negative	@united is UA938 still taking off at 9:05pm? I'm stuck on the tarmac on UA3462 waiting to get in.
negative	"@united you realize you've said this already. At least last time you asked if I needed ""help"""
negative	@AmericanAir what happened?? We didn't get a notification about a departure Cancelled Flightation tomorrow. Why will it take 2 hrs to talk to someone
negative	@USAirways My flight (US558) got Cancelled Flightled on 2/16 due to lack of flight crew.I was told that I'd be reimbursed for hotel. Who do I contact?
negative	@USAirways You won't give us a hotel or food. Can you at least suggestion options for making it to the metro city I have a ticket to?
negative	@JetBlue That's not weather reLate Flightd.  You are just being nice and blaming the weather.  Airport just wasn't prepared. Investigation time.
negative	@AmericanAir I wait 2+ hrs for CS to call me back re why  flt is cxld/protection &amp; they hang up the minute I answer on 1st ring?
neutral	@JetBlue Hi! Does my upcoming flight 2168 from West Palm to HPN have Fly-Fi?
negative	@USAirways F623 DEN:PHX. Serious display of poor customer service exhibited by flight crew today.   #newamericanairline #cheapslogannotmotto
